USPS,GEOID,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,county_code,County
CA,06001438203,3920,1263,5282083,0,2.039,0,37.6155886,-122.0573943,1,Alameda
CA,06001438204,5368,1925,1490070,0,0.575,0,37.6270608,-122.0596258,1,Alameda
CA,06001438300,3731,924,855995,0,0.331,0,37.6282241,-122.088523,1,Alameda
CA,06001438400,2331,746,1723690,0,0.666,0,37.6184511,-122.082604,1,Alameda
CA,06001440100,2310,1027,27751537,0,10.715,0,37.6163011,-121.9815046,1,Alameda
CA,06001440200,5989,1492,1160011,0,0.448,0,37.6003676,-122.02252060000001,1,Alameda
CA,06001440301,7312,2195,4279533,0,1.652,0,37.6011866,-122.0427542,1,Alameda
CA,06001440304,4674,1316,978636,0,0.378,0,37.586873,-122.0766119,1,Alameda
CA,06001440305,3883,1023,928522,0,0.359,0,37.5773806,-122.0746719,1,Alameda
CA,06001440306,3841,1036,674201,0,0.26,0,37.5849858,-122.0683607,1,Alameda
CA,06001440307,4219,1626,1405902,0,0.543,0,37.5911419,-122.0486869,1,Alameda
CA,06001440308,5883,2019,1843807,0,0.712,0,37.5893439,-122.0278186,1,Alameda
CA,06001440331,3205,942,1859189,0,0.718,0,37.5982227,-122.0833307,1,Alameda
CA,06001440332,3310,872,2464731,0,0.952,0,37.5819265,-122.0858459,1,Alameda
CA,06001440333,2839,828,2512242,0,0.97,0,37.6053389,-122.0738117,1,Alameda
CA,06001440334,4016,1070,1024273,0,0.395,0,37.5937913,-122.0648512,1,Alameda
CA,06001440335,6496,2225,2005295,0,0.774,0,37.5913508,-122.0122841,1,Alameda
CA,06001440336,4459,1480,1141556,0,0.441,0,37.5811633,-122.0175013,1,Alameda
CA,06001441100,4308,1728,15151159,0,5.85,0,37.5852993,-121.9620573,1,Alameda
CA,06001441200,6816,2641,3241560,11692,1.252,0.005,37.5780625,-121.9910071,1,Alameda
CA,06001441301,3179,1199,3293451,0,1.272,0,37.5717252,-122.0026581,1,Alameda
CA,06001441302,5553,1855,1994668,0,0.77,0,37.5693426,-122.0194346,1,Alameda
CA,06001441401,6931,2346,1888786,0,0.729,0,37.5735681,-122.0376753,1,Alameda
CA,06001441402,5233,1728,1634599,0,0.631,0,37.5823791,-122.0398734,1,Alameda
CA,06001441501,6068,1758,2624991,0,1.014,0,37.5699748,-122.07244180000001,1,Alameda
CA,06001441503,5389,2021,77476439,12542580,29.914,4.843,37.4731786,-121.9444248,1,Alameda
CA,06001441521,5869,1800,1710406,0,0.66,0,37.5729294,-122.0532609,1,Alameda
CA,06001441522,4980,1457,1307697,0,0.505,0,37.5845579,-122.0572528,1,Alameda
CA,06001441523,4077,1402,467502,0,0.181,0,37.5647793,-122.0464869,1,Alameda
CA,06001441524,4010,1332,1680777,0,0.649,0,37.5594781,-122.0506927,1,Alameda
CA,06001441601,4561,1451,1291642,0,0.499,0,37.5635007,-122.0305372,1,Alameda
CA,06001441602,6802,2330,1682393,0,0.65,0,37.55696,-122.0212345,1,Alameda
CA,06001441700,7436,2762,2229947,0,0.861,0,37.5532064,-122.0116314,1,Alameda
CA,06001441800,6786,2413,2040472,0,0.788,0,37.5591933,-121.9915834,1,Alameda
CA,06001441921,3663,1295,846808,0,0.327,0,37.5424223,-121.9678075,1,Alameda
CA,06001441923,5605,2227,1506724,0,0.582,0,37.5509731,-121.9850086,1,Alameda
CA,06001441924,7301,2675,2184662,0,0.844,0,37.5647659,-121.9732494,1,Alameda
CA,06001441925,6159,2919,3003332,264744,1.16,0.102,37.5500775,-121.9630732,1,Alameda
CA,06001441926,4080,1456,408691,0,0.158,0,37.5408003,-121.9787103,1,Alameda
CA,06001441927,4103,1817,650131,0,0.251,0,37.5465021,-121.976577,1,Alameda
CA,06001442000,3212,1023,8127719,0,3.138,0,37.5592488,-121.9351067,1,Alameda
CA,06001442100,5166,1660,1824959,0,0.705,0,37.5483239,-121.9498322,1,Alameda
CA,06001442200,6875,2161,4207605,0,1.625,0,37.5345605,-121.9421767,1,Alameda
CA,06001442301,4388,1461,1429041,0,0.552,0,37.5278226,-121.9615164,1,Alameda
CA,06001442302,4788,2050,963013,0,0.372,0,37.5362999,-121.9600524,1,Alameda
CA,06001442400,6253,1977,1582847,0,0.611,0,37.5313805,-121.9737794,1,Alameda
CA,06001442500,7371,2239,1959816,0,0.757,0,37.537144,-121.9871471,1,Alameda
CA,06001442601,3844,1295,1181579,0,0.456,0,37.544306,-121.9976615,1,Alameda
CA,06001442602,5074,1744,1318799,0,0.509,0,37.5481818,-122.0049883,1,Alameda
CA,06001442700,2873,1093,1233608,0,0.476,0,37.5371537,-122.0081115,1,Alameda
CA,06001442800,2816,943,1279073,0,0.494,0,37.5293622,-121.9931032,1,Alameda
CA,06001442900,7194,2383,2070553,0,0.799,0,37.5183894,-121.9748246,1,Alameda
